FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TB803;Ein Träger von 145 MHz wird mit der NF-Frequenz von 2 kHz und einem Hub von 1,8 kHz frequenzmoduliert. Welche Bandbreite hat das modulierte Signal?;;;;;Die Bandbreite beträgt ungefähr 7,6 kHz;;;Die Bandbreite beträgt ungefähr 3,8 kHz;;;Die Bandbreite beträgt ungefähr 5,8 kHz;;;Die Bandbreite beträgt ungefähr 12 kHz;;
TB804;Warum wird bei FM senderseitig eine Preemphasis eingesetzt?;;;;;Um das Signal/Rausch-Verhältnis durch Anheben der Amplituden der höheren Modulationsfrequenzen zu verbessern.;;;Um das breitbandige FM-Signal durch Anheben der Amplituden der höheren Modulationsfrequenzen auf Schmalband FM zu reduzieren.;;;Um die Ausgangsleistung durch Verdichtung des Spektrums der Modulationsfrequenzen zu erhöhen.;;;Um das FM Kanalraster von 25 KHz auf 12,5 KHz durch Reduzierung der Bandbreite zu ermöglichen.;;
TB805;Kann man auf der Empfängerseite bei Sprachübertragung Frequenz- und Phasenmodulation unterscheiden?;;;;;Nein, im Normalfall ist keine Unterscheidung möglich.;;;Ja, weil bei Phasenmodulation die Frequenz immer konstant ist.;;;Ja, weil bei Frequenzmodulation ein kräftigeres Signal erzeugt wird.;;;Ja, weil phasenmodulierte Aussendungen in FM-Empfängern bzw. frequenzmodulierte Aussendungen in Phasendiskriminatoren erhebliche Verzerrungen verursachen.;;
TB806;Zwei in etwa pegelgleiche Aussendungen können an einer nichtlinear arbeitenden Empfängerstufe;;;;;Intermodulationsprodukte erzeugen.;;;Frequenzmodulation hervorrufen.;;;zwei gleiche Seitenbänder produzieren.;;;einen so genannten Dopplereffekt hervorrufen.;;
TB901;Die Ausgangsleistung eines Senders ist;;;;;die unmittelbar nach dem Senderausgang messbare Leistung, bevor sie Zusatzgeräte (z.B. Anpassgeräte) durchläuft.;;;die unmittelbar nach dem Senderausgang gemessene Differenz aus vorlaufender und rücklaufender Leistung.;;;die unmittelbar nach den erforderlichen Zusatzgeräten (z.B. Anpassgeräte) messbare Leistung.;;;die unmittelbar nach dem Senderausgang gemessene Summe aus vorlaufender und rücklaufender Leistung.;;
TB902;Die Spitzenleistung eines Senders (PEP) ist;;;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen während;;;die unmittelbar nach dem Senderausgang messbare Leistung über die Spitzen der Periode einer durchschnittlichen Hochfrequenzschwingung, bevor Zusatzgeräte (z.B. Anpassgeräte) durchlaufen werden.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen an die Antennenspeiseleitung während eines Zeitintervalls abgibt, das im Verhältnis zur Periode der tiefsten Modulationsfrequenz ausreichend lang ist.;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den Halbwellendipol.;;
TB903;Die mittlere Leistung eines Senders ist;;;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen an die Antennenspeiseleitung während eines Zeitintervalls abgibt, das im Verhältnis zur Periode der tiefsten Modulationsfrequenz ausreichend lang ist.;;;die unmittelbar nach dem Senderausgang messbare Leistung über die Spitzen der Periode einer durchschnittlichen Hochfrequenzschwingung, bevor Zusatzgeräte (z.B. Anpassgeräte) durchlaufen werden.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen während einer Periode der Hochfrequenzschwingung bei der höchsten Spitze der Modulationshüllkurve der Antennenspeiseleitung zuführt.;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den Halbwellendipol.;;
TB904;Die äquivalente (effektive) Strahlungsleistung (ERP) ist;;;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den Halbwellendipol.;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den isotropen Kugelstrahler.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen während einer Periode der Hochfrequenzschwingung bei der höchsten Spitze der Modulationshüllkurve der Antennenspeiseleitung zuführt.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen an die Antennenspeiseleitung während eines Zeitintervalls abgibt, das im Verhältnis zur Periode der tiefsten Modulationsfrequenz ausreichend lang ist.;;
TB905;Die äquivalente isotrope Strahlungsleistung (EIRP) ist;;;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den isotropen Kugelstrahler.;;;das Produkt aus der Leistung, die unmittelbar der Antenne zugeführt wird und ihrem Gewinnfaktor in einer Richtung, bezogen auf den Halbwellendipol.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen während einer Periode der Hochfrequenzschwingung bei der höchsten Spitze der Modulationshüllkurve der Antennenspeiseleitung zuführt.;;;die durchschnittliche Leistung, die ein Sender unter normalen Betriebsbedingungen an die Antennenspeiseleitung während eines Zeitintervalls abgibt, das im Verhältnis zur Periode der tiefsten Modulationsfrequenz ausreichend lang ist.;;
TB906;Die belegte Bandbreite einer Aussendung ist die Frequenzbandbreite,;;;;;bei der die unterhalb ihrer unteren und oberhalb ihrer oberen Frequenzgrenzen ausgesendeten mittleren Leistungen jeweils 0,5 % der gesamten mittleren Leistung einer gegebenen Aussendung betragen.;;;bei der die oberhalb ihrer unteren und unterhalb ihrer oberen Frequenzgrenzen ausgesendeten mittleren Leistungen jeweils 50 % der gesamten mittleren Leistung einer gegebenen Aussendung betragen.;;;bei der die oberhalb ihrer unteren und unterhalb ihrer oberen Frequenzgrenzen ausgesendeten mittleren Leistungen jeweils 10 % der gesamten mittleren Leistung einer gegebenen Aussendung betragen.;;;bei der die unterhalb ihrer unteren und oberhalb ihrer oberen Frequenzgrenzen ausgesendeten mittleren Leistungen jeweils 5 % der gesamten mittleren Leistung einer gegebenen Aussendung betragen.;;
TB907;Was versteht man unter dem Begriff EIRP ?;;;;;Es ist die Leistung, die man einem isotropen Strahler zuführen müsste, damit dieser die gleiche Feldstärke erzeugt wie eine im Vergleich herangezogene reale Antenne, in die eine Antenneneingangsleistung P eingespeist wird.;;;Es ist die Eingangsleistung des verwendeten Senders wie sie in der EMVU-Selbsterklärung anzugeben ist.;;;Es handelt sich um die Leistung, die man im Maximum der Strahlungskeule einer Dipolantenne vorfindet.;;;Es ist die durchschnittliche Leistung der Amateurfunkstelle wie sie in der EMVU-Selbsterklärung anzugeben ist.;;
TB908;Die Spitzenleistung eines Senders ist die;;;;;HF-Leistung bei der höchsten Spitze der Hüllkurve.;;;Durchschnittsleistung einer SSB-Übertragung.;;;Spitzen-Spitzen-Leistung bei den höchsten Spitzen der Modulationshüllkurve.;;;Mindestleistung bei der Modulationsspitze.;;
TB909;Wie wird die ERP (Effective Radiated Power oder auch Equivalent Radiated Power) berechnet und worauf ist sie bezogen?;;;;;ERP = (P_Sender - P_Verluste) * G_Antenne bezogen auf den Halbwellendipol;;;ERP = (P_Sender * GAntenne) * P_Verluste bezogen auf den isotropen Kugelstrahler;;;ERP = (P_Sender + P_Verluste) * G_Antenne bezogen auf den Halbwellendipol;;;ERP = P_Sender + P_Verluste + G_Antenne bezogen auf den isotropen Kugelstrahler;;
TB910;Wie wird die EIRP ermittelt?;;;;;P_{EIRP} = (P_Sender - P_Verluste) * G_Antenne bezogen auf den isotropen Kugelstrahler;;;P_{EIRP} = (P_Sender * G_Antenne) - P_Verluste bezogen auf den Halbwellendipol;;;P_{EIRP} = (P_Sender + P_Verluste) * G_Antenne bezogen auf den isotropen Kugelstrahler;;;P_{EIRP} = P_Sender + P_Verluste + G_Antenne bezogen auf den Halbwellendipol;;
TB911;Um die Störwahrscheinlichkeit zu verringern, sollte die benutzte Sendeleistung;;;;;auf das für eine zufrieden stellende Kommunikation erforderliche Minimum eingestellt werden.;;;nur auf den zulässigen Pegel eingestellt werden.;;;auf die für eine zufrieden stellende Kommunikation erforderlichen 750 W eingestellt werden.;;;die Hälfte des maximal zulässigen Pegels betragen.;;
TB912;Gelten die Formeln für die Leistung an einem Ohmschen Widerstand auch bei Wechselspannung?;;;;;Ja, es sind aber die Effektivwerte einzusetzen.;;;Nein, denn Spannung und Strom ändern sich laufend.;;;Ja, es darf aber immer nur mit den Spitzenwerten gerechnet werden.;;;Nein, denn Spannung und Strom sind um den Phasenwinkel Phi verschoben.;;
TB913;An einem Kondensator mit einer Kapazität von 1 µF wird eine NF-Spannung von 10 KHz und 12 Veff angelegt. Wie groß ist die aufgenommene Wirkleistung im eingeschwungenen Zustand?;;;;;Fast null Watt;;;0,9 Watt;;;0,75 Watt;;;9 Watt;;
TB914;Welche Belastbarkeit muss ein 100-Ω-Widerstand, an dem 10 Volt anliegen, mindestens haben?;;;;;1 W;;;0,125 W;;;10 W;;;100 mW;;
TB915;Eine Glühlampe hat einen Nennwert von 12 V und 48 W. Wie hoch ist die Stromentnahme bei einer 12-V-Versorgung?;;;;;4 A;;;250 mA;;;750 mA;;;36 A;;
TB916;Der Effektivwert der Spannung an einer künstlichen 50-Ω-Antenne wird mit 100 V gemessen. Die Leistung an der Last beträgt;;;;;200 W.;;;141 W.;;;100 W.;;;283 W.;;
TB917;Eine künstliche 50-Ω-Antenne besteht aus elf 560-Ω-Kohleschichtwiderständen mit einem Belastungsnennwert von jeweils 5 W. Wie hoch ist die zulässige Gesamtleistung, die angelegt werden darf?;;;;;55 W;;;27,5 W;;;750 W;;;5 W;;
TB918;Ein mit einer künstlichen 50-Ω-Antenne in Serie geschaltetes Amperemeter zeigt 2 A an. Die Leistung in der Last beträgt;;;;;200 W.;;;100 W.;;;25 W.;;;250 W.;;
TB919;Ein HF-Verstärker ist an eine 12,5-V Gleichstromversorgung angeschlossen. Wenn die HF-Ausgangsleistung des Verstärkers 90 W beträgt, zeigt das an die Stromversorgung angeschlossene Amperemeter 16 A an. Der Wirkungsgrad des Verstärkers beträgt;;;;;45 %.;;;55 %.;;;100 %.;;;222 %.;;
TB920;Eine HF-Ausgangleistung von 100 W wird in eine angepasste Übertragungsleitung eingespeist. Am antennenseitigen Ende der Leitung beträgt die Leistung 50 W bei einem Stehwellenverhältnis von 1. Wie hoch ist die Leitungsdämpfung?;;;;;3 dB;;;-6 dB;;;-3 dB;;;6 dBm;;
TB921;Ein Spannungsmesser und ein Amperemeter werden für die Ermittlung der Gleichstromeingangsleistung einer Schaltung verwendet. Der Spannungsmesser zeigt 10 V, das Amperemeter 10 A an. Falls beide dabei im Rahmen ihrer Messgenauigkeit jeweils einen um 5 % zu geringen Wert anzeigen würden, würde man die elektrische Leistung um;;;;;9,75 % zu niedrig bestimmen.;;;5 % zu niedrig bestimmen.;;;10,25 % zu hoch bestimmen.;;;5 % zu hoch bestimmen.;;
TB922;An einem Widerstand R wird die elektrische Leistung P in Wärme umgesetzt. Sie kennen die Größen P und R. Nach welcher der Formeln können Sie die Spannung ermitteln, die an dem Widerstand R anliegt?;;;;;U₄ = √(P*R);;;U = R * P;;;U = √(P/R);;;U = P/R;;
TB923;In welcher Antwort sind alle dargestellten Zusammenhänge zwischen Strom, Spannung, Widerstand und Leistung richtig?;;;;;I = √(P/R) : U = √(P*R);;;I = √(P*R) : U = √(P/R);;;I = √(R/P) : U = √(P*R);;;I = (√P)/R : U = √P *R;;
TB924;In welcher Antwort sind alle dargestellten Zusammenhänge zwischen Widerstand, Leistung, Spannung und Strom richtig?;;;;;R = U² / P : R = P / I²;;;R = U² * P : R = P / I²;;;R = P / I² : R = P * I²;;;R = U² / P : R = P * I²;;
TC101;Welche Schaltung könnte dazu verwendet werden, den Wert eines Widerstandes anhand des Ohmschen Gesetzes zu ermitteln?;;;;;;tc101_a.jpg;1.0;;tc101_b.jpg;1.0;;tc101_c.jpg;1.0;;tc101_d.jpg;1.0
TC102;Metallschichtwiderstände;;;;;haben geringe Fertigungstoleranzen und Temperaturabhängigkeit und sind besonders als Präzisionswiderstände geeignet.;;;sind induktionsarm und eignen sich besonders für den Einsatz bei sehr hohen Frequenzen.;;;sind besonders als Hochlastwiderstände bei niedrigen Frequenzen geeignet.;;;haben einen extrem stark negativen Temperaturkoeffizienten und sind besonders als NTC-Widerstände (Heißleiter) geeignet.;;
TC103;Metalloxidwiderstände;;;;;sind induktionsarm und eignen sich besonders für den Einsatz bei sehr hohen Frequenzen.;;;haben geringe Toleranzen und Widerstandsänderungen und sind besonders als Präzisionswiderstände in der Messtechnik geeignet.;;;sind besonders als Hochlastwiderstände bei niedrigen Frequenzen geeignet.;;;haben einen extrem stark negativen Temperaturkoeffizienten und sind besonders als NTC-Widerstände (Heißleiter) geeignet.;;
TC104;Drahtwiderstände;;;;;sind besonders als Hochlastwiderstände bei niedrigen Frequenzen geeignet.;;;Drahtwiderstände werden hauptsächlich in Form von SMD-Widerständen hergestellt.;;;sind induktionsarm und eignen sich besonders für den Einsatz bei sehr hohen Frequenzen.;;;haben einen extrem stark negativen Temperaturkoeffizienten und sind besonders als NTC-Widerstände (Heißleiter) geeignet.;;
TC105;Ein Widerstand von 10 kΩ hat eine maximale Spannungsfestigkeit von 0,7 kV und eine maximale Belastbarkeit von einem Watt. Welche Gleichspannung darf höchstens an den Widerstand angelegt werden ohne ihn zu überlasten?;;;;;0,1 kV;;;10 V;;;700 V;;;1 V;;
TC106;Ein Widerstand von 50 kΩ hat eine maximale Spannungsfestigkeit von 0,7 kV und eine maximale Belastbarkeit von 2 Watt. Welche Gleichspannung darf höchstens an den Widerstand angelegt werden ohne ihn zu überlasten?;;;;;316 V;;;100 V;;;25 V;;;700 V;;
TC107;Welche Belastbarkeit muss ein Vorwiderstand haben, an dem bei einem Strom von 48 mA eine Spannung von 208 V abfallen soll?;;;;;10 W;;;100 W;;;4,8 W;;;0,5 W;;
TC108;Ein Widerstand von 120 Ω hat eine Belastbarkeit von 23 Watt. Welcher Strom darf höchstens durch den Widerstand fließen, damit er nicht überlastet wird?;;;;;438 mA;;;192 mA;;;43,7 mA;;;2,28 A;;
TC109;Ein Widerstand hat eine Toleranz von 10 %. Bei einem nominalen Widerstandswert von 5,6 kΩ liegt der tatsächliche Wert zwischen;;;;;5040 und 6160 Ω.;;;4760 und 6440 Ω.;;;4,7 und 6,8 kΩ.;;;5,2 und 6,3 kΩ.;;
TC110;Eine Glühlampe hat einen Nennwert von 12 V und 3 W. Wie viel Strom fließt beim Anschluss an 12 V?;;;;;250 mA;;;400 mA;;;4 A;;;2,5 A;;
TC111;Ein Oszilloskop zeigt einen sinusförmigen Spitze-Spitze-Wert von 25 V an einem 1000-Ω-Widerstand an. Der Effektivstrom durch den Widerstand beträgt;;;;;8,8 mA.;;;12,5 mA.;;;25 mA.;;;40 A.;;
TC112;Ein Lastwiderstand besteht aus zwölf parallelgeschalteten 600-Ω-Drahtwiderständen. Er eignet sich höchstens;;;;;für Tonfrequenzen bis etwa 15 kHz.;;;für Funkfrequenzen bis etwa 144 MHz.;;;für UHF-Senderausgänge mit 50 Ω.;;;als Langdrahtersatz.;;
TC113;Eine künstliche Antenne für den VHF-Bereich könnte beispielsweise aus;;;;;ungewendelten Kohleschichtwiderständen zusammengebaut sein.;;;hochbelastbaren Drahtwiderständen zusammengebaut sein.;;;Glühbirnen zusammengebaut sein.;;;temperaturfesten Blindwiderständen bestehen.;;
TC114;Welche der folgenden Bauteile könnten für eine genaue künstliche Antenne, die bei 50 MHz eingesetzt werden soll, verwendet werden?;;;;;10 Kohleschichtwiderstände von 500 Ω;;;ein 50-Ω-Drahtwiderstand;;;2 parallel geschaltete Drahtwiderstände von 100 Ω;;;ein Spulenanpassfilter im Ölbad;;
TC115;Aus welchen Bauteilen sollte eine künstliche Antenne für den VHF-Bereich gebaut werden?;;;;;Aus induktionsarmen Kohleschichtwiderständen;;;Aus Drahtwiderständen mit kapazitätsarmen Anschlusskappen;;;Aus einem abgestimmten Topfkreis mit induktiver Einkopplung;;;Aus versilberten Kupfer-Rundstäben von 10 mm Durchmesser;;
TC201;Welche Aussage zur Kapazität eines Plattenkondensators ist richtig?;;;;;Je größer der Plattenabstand ist, desto kleiner ist die Kapazität.;;;Je größer die angelegte Spannung ist, desto kleiner ist die Kapazität.;;;Je größer die Plattenoberfläche ist, desto kleiner ist die Kapazität.;;;Je größer die Dielektrizitätszahl ist, desto kleiner ist die Kapazität.;;
TC202;Welchen zeitlichen Verlauf hat die Spannung an einem entladenen Kondensator, wenn dieser über einen Widerstand an eine Gleichspannungsquelle angeschlossen wird?;;;;;;tc202_a.jpg;1.0;;tc202_b.jpg;1.0;;tc202_c.jpg;1.0;;tc202_d.jpg;1.0
TC203;Ein verlustloser Kondensator wird an eine Wechselspannungsquelle angeschlossen. Welche Phasenverschiebung zwischen Spannung und Strom stellt sich ein?;;;;;Der Strom eilt der Spannung um 90° voraus.;;;Die Spannung eilt dem Strom um 90° voraus.;;;Die Spannung eilt dem Strom um 45° voraus.;;;Der Strom eilt der Spannung um 45° voraus.;;
TC204;Wie verhält sich der Wechselstromwiderstand eines Kondensators mit zunehmender Frequenz?;;;;;Er nimmt ab.;;;Er bleibt konstant.;;;Er nimmt zu.;;;Er wird unendlich.;;
TC205;Wie groß ist der kapazitive Widerstand eines 10-pF-Kondensators bei 100 MHz?;;;;;159 Ω;;;1,59 kΩ;;;318 Ω;;;31,8 Ω;;
TC206;An einem unbekannten Kondensator liegt eine Wechselspannung mit 16 V und 50 Hz. Es wird ein Strom von 32 mA gemessen. Welche Kapazität hat der Kondensator?;;;;;6,37 µF;;;0,637 µF;;;0,45 µF;;;4,5 µF;;
TC207;Was versteht man unter dem Blindwiderstand eines Kondensators und von welchen physikalischen Größen hängt er ab?;;;;;Der Blindwiderstand ist der mit negativem Vorzeichen versehene Wechselstromwiderstand eines Kondensators. Er ist abhängig von der Kapazität des Kondensators und der anliegenden Frequenz. Im Blindwiderstand entstehen keine Wärmeverluste.;;;Der Blindwiderstand ist der Gleichstromwiderstand eines Kondensators. Er ist abhängig vom Isolationsmaterial des Kondensators und der anliegenden Spannung. Auch im Blindwiderstand entstehen Wärmeverluste.;;;Der Blindwiderstand ist der Wechselstromwiderstand eines Kondensators. Er ist abhängig von der Blindkapazität des Kondensators und der anliegenden Spannung. Im Blindwiderstand entstehen hohe Verluste.;;;Der Blindwiderstand ist der HF- Gleichstromwiderstand eines Kondensators. Er wird mit steigender Kapazität sowie bei erhöhtem Wechselstromanteil und steigender Frequenz größer. Je höher die Frequenz umso eher wandern die Ladungen an die Plattenränder (Skin-Effekt).;;
TC208;Neben dem kapazitiven Blindwiderstand treten im Wechselstrom durchflossenen Kondensator auch Verluste auf, die rechnerisch in einem parallelgeschalteten Verlustwiderstand zusammengefasst werden können.Die Kondensatorverluste werden angegeben durch;;;;;den Verlustfaktor tan Δ (Tangens Delta), der dem Kehrwert des Gütefaktors entspricht.;;;den relativen Verlustwiderstand in Ω pro Picofarad, mit dem die Kondensatorgüte berechnet werden kann.;;;den relativen Blindwiderstand in Ω pro Picofarad, mit dem die Kondensatorgüte berechnet werden kann.;;;den Verlustfaktor cos ɸ (Cosinus Phi), der dem Kehrwert des Gütefaktors entspricht.;;
TC209;Entsteht in einem Wechselstrom durchflossenen Kondensator eine Verlustleistung?;;;;;Ja, infolge von Verlusten im Dielektrikum, die aber meist vernachlässigbar klein sind.;;;Nein, beim Kondensator handelt es sich immer nur um eine reine Blindleistung.;;;Ja, aber nur dann, wenn Luft als Dielektrikum verwendet wird.;;;Ja, genau wie bei Gleichstrom entsprechend den Formeln für Strom, Spannung und Leistung.;;
TC302;In einer reinen Induktivität, die an einer Wechselspannungsquelle angeschlossen ist, eilt der Strom der angelegten Spannung;;;;;um 90° nach.;tc301_a.jpg;1.0;um 45° voraus.;tc301_b.jpg;1.0;um 45° nach.;tc301_c.jpg;1.0;um 90° voraus.;tc301_d.jpg;1.0
TC303;Wie verhält sich der Wechselstromwiderstand einer Spule mit zunehmender Frequenz?;;;;;Er nimmt zu.;;;Er nimmt ab.;;;Er bleibt konstant.;;;Er steigt auf ein Maximum und fällt dann ab.;;
TC304;Beim Anlegen einer Gleichspannung U = 1 V an eine Spule messen Sie einen Strom. Wird der Strom beim Anlegen von einer Wechselspannung mit U_eff = 1 V größer oder kleiner?;;;;;Beim Betrieb mit Gleichspannung wirkt nur der Gleichstromwiderstand der Spule. Beim Betrieb mit Wechselspannung wird der induktive Widerstand Xₗ wirksam und erhöht den Gesamtwiderstand. Der Strom wird kleiner.;;;Beim Betrieb mit Gleichspannung wirkt nur der Gleichstromwiderstand der Spule. Beim Betrieb mit Wechselspannung wirkt nur der kleinere induktive Widerstand Xₗ. Der Strom wird größer.;;;Beim Betrieb mit Gleich- oder Wechselspannung wirkt nur der Ωsche Widerstand Xₗ der Spule. Der Strom bleibt gleich.;;;Beim Betrieb mit Wechselspannung wirkt nur der Wechselstromwiderstand der Spule. Beim Betrieb mit Gleichspannung wird nur der Ωsche Widerstand Xₗ wirksam. Der Strom wird größer.;;
TC305;Wie groß ist der Wechselstromwiderstand einer Spule mit 3 µH Induktivität bei einer Frequenz von 100 MHz?;;;;;1885 Ω;;;942 Ω;;;1885 kΩ;;;1,9 Ω;;
